Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,14,354,0,2,85,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,419,0,0,94,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,18,360,0,0,106,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,513,0,4,146,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,659,0,2,72,,https://sofifa.com/league/13,England
,Championship  England,24,715,0,7,73,,https://sofifa.com/league/14,England
,Ligue 1  France,20,617,0,1,74,,https://sofifa.com/league/16,France
,Ligue 2  France,20,525,0,0,128,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,543,0,3,37,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,489,0,2,63,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,542,0,2,38,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,596,0,0,139,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,20,568,0,88,2,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,383,0,14,54,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,334,0,1,92,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,627,0,1,57,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,606,0,1,184,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,397,0,22,69,,https://sofifa.com/league/56,Sweden
,League One  England,24,663,0,2,112,,https://sofifa.com/league/60,England
,League Two  England,24,633,0,6,170,,https://sofifa.com/league/61,England
,Super League  Greece,3,79,0,0,13,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,12,291,0,14,56,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,410,0,0,123,,https://sofifa.com/league/66,Poland
,Premier League  Russia,16,449,0,3,141,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,18,495,0,4,138,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,267,0,2,59,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,12,336,0,13,83,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,259,0,1,64,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,18,496,0,1,126,,https://sofifa.com/league/308,Portugal
,Veikkausliiga  Finland,1,28,0,3,1,,https://sofifa.com/league/322,Finland
,Premier League  Ukraine,1,27,0,0,5,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,16,438,0,0,419,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,20,545,0,12,73,,https://sofifa.com/league/336,Colombia
,Liga MX  Mexico,18,509,0,3,107,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,0,14,,https://sofifa.com/league/347,South Africa
,J1 League  Japan,18,501,0,95,80,,https://sofifa.com/league/349,Japan
,Pro League  Saudi Arabia,14,416,0,4,118,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,10,242,0,0,61,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,30,874,0,5,248,,https://sofifa.com/league/353,Argentina
,Série B  Brazil,5,100,0,0,34,,https://sofifa.com/league/2025,Brazil
