Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,Germany,1337,84,78,83,82,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,23,25.55,,https://sofifa.com/team/1337/germany/
,Spain,1362,84,81,85,83,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,19,23,28.64,,https://sofifa.com/team/1362/spain/
,Brazil,1370,83,85,80,84,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,20,23,26.73,,https://sofifa.com/team/1370/brazil/
,France,1335,82,82,82,80,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,18,23,28.27,,https://sofifa.com/team/1335/france/
,Argentina,1369,82,88,80,77,€0,€0,Slow,Lots,Mixed,Organised,Normal,Normal,Lots,Free form,Press,Medium,Normal,Cover,20,19,23,27.36,,https://sofifa.com/team/1369/argentina/
,Belgium,1325,81,80,82,77,€0,€0,Slow,Lots,Mixed,Organised,Little,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,14,23,24.55,,https://sofifa.com/team/1325/belgium/
,Italy,1343,81,79,79,84,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,18,23,29.45,,https://sofifa.com/team/1343/italy/
,Portugal,1354,81,85,80,79,€0,€0,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,20,16,23,25.45,,https://sofifa.com/team/1354/portugal/
,England,1318,80,81,79,80,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,16,23,24.36,,https://sofifa.com/team/1318/england/
,Netherlands,105035,79,81,78,77,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,17,23,24.0,,https://sofifa.com/team/105035/netherlands/
,Switzerland,1364,78,76,77,78,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,24.55,,https://sofifa.com/team/1364/switzerland/
,Uruguay,1377,78,84,75,77,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,14,23,27.73,,https://sofifa.com/team/1377/uruguay/
,Russia,1357,77,78,76,77,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,20,12,23,28.36,,https://sofifa.com/team/1357/russia/
,Türkiye,1365,77,77,78,76,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,13,23,27.09,,https://sofifa.com/team/1365/turkiye/
,Chile,111459,77,80,77,75,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,14,23,28.64,,https://sofifa.com/team/111459/chile/
,Mexico,1386,77,76,79,76,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,20,14,23,27.0,,https://sofifa.com/team/1386/mexico/
,Colombia,111109,76,75,77,75,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,15,23,25.27,,https://sofifa.com/team/111109/colombia/
,Côte d'Ivoire,111112,76,78,77,71,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,12,23,26.55,,https://sofifa.com/team/111112/cote-divoire/
,Denmark,1331,76,74,77,75,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,22.91,,https://sofifa.com/team/1331/denmark/
,Poland,1353,76,82,75,74,€0,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,11,23,26.45,,https://sofifa.com/team/1353/poland/
,Austria,1322,75,73,77,76,€0,€0,Balanced,Lots,Mixed,Organised,Little,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,9,23,27.0,,https://sofifa.com/team/1322/austria/
,Czechia,1330,75,73,75,73,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,26.64,,https://sofifa.com/team/1330/czechia/
,Greece,1338,75,76,72,76,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Narrow,Cover,20,13,23,27.09,,https://sofifa.com/team/1338/greece/
,Republic of Ireland,1355,75,75,74,75,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,23,27.82,,https://sofifa.com/team/1355/republic-of-ireland/
,Scotland,1359,74,76,74,72,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,9,23,26.82,,https://sofifa.com/team/1359/scotland/
,Sweden,1363,74,76,73,74,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,25.36,,https://sofifa.com/team/1363/sweden/
,Wales,1367,74,74,74,73,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,9,23,25.73,,https://sofifa.com/team/1367/wales/
,United States,1387,74,74,74,73,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,13,23,27.64,,https://sofifa.com/team/1387/united-states/
,Norway,1352,73,70,72,71,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Deep,Normal,Cover,20,9,23,23.45,,https://sofifa.com/team/1352/norway/
,Romania,1356,73,71,72,73,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,27.45,,https://sofifa.com/team/1356/romania/
,Slovenia,1361,73,70,73,72,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,23,25.36,,https://sofifa.com/team/1361/slovenia/
,Paraguay,1375,73,73,71,71,€0,€0,Slow,Normal,Mixed,Organised,Little,Safe,Normal,Organised,Press,Deep,Normal,Cover,20,8,23,25.55,,https://sofifa.com/team/1375/paraguay/
,Ecuador,111465,73,74,72,69,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,23,27.27,,https://sofifa.com/team/111465/ecuador/
,Cameroon,1395,73,69,69,77,€0,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,24.64,,https://sofifa.com/team/1395/cameroon/
,Australia,1415,72,71,72,69,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,11,23,24.09,,https://sofifa.com/team/1415/australia/
,Hungary,1886,71,73,70,68,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,9,23,25.73,,https://sofifa.com/team/1886/hungary/
,Venezuela,111487,71,72,72,70,€0,€0,Slow,Normal,Short,Organised,Normal,Safe,Little,Organised,Press,Deep,Normal,Cover,20,5,23,25.55,,https://sofifa.com/team/111487/venezuela/
,South Africa,111099,71,67,71,72,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,8,23,25.45,,https://sofifa.com/team/111099/south-africa/
,Northern Ireland,110081,70,68,69,69,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,5,23,26.64,,https://sofifa.com/team/110081/northern-ireland/
,Finland,1334,70,66,71,67,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,20,6,23,27.27,,https://sofifa.com/team/1334/finland/
,Egypt,111130,69,69,69,67,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,10,23,25.73,,https://sofifa.com/team/111130/egypt/
,Bulgaria,1327,69,69,70,68,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Contain,Medium,Normal,Cover,20,10,23,27.45,,https://sofifa.com/team/1327/bulgaria/
,China PR,1413,69,70,67,66,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,6,23,26.55,,https://sofifa.com/team/1413/china-pr/
,Peru,111108,68,69,66,67,€0,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,7,23,24.0,,https://sofifa.com/team/111108/peru/
,Canada,111455,67,68,69,65,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,5,23,26.73,,https://sofifa.com/team/111455/canada/
,Bolivia,111451,65,61,65,65,€0,€0,Slow,Normal,Mixed,Organised,Little,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,3,23,27.18,,https://sofifa.com/team/111451/bolivia/
,New Zealand,111473,64,66,61,66,€0,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,20,4,23,24.09,,https://sofifa.com/team/111473/new-zealand/
