Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Tactical Awareness,Positioning,Vision,Penalties,Composure,Total defending,Marking,Tackling,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,Traits.1,PlayStyles,PlayStyles +,Number of traits,Acceleration Type,Unnamed: 78,href,country
,D. Beckham RM,31,87,89,Real Madrid 2007,250,"182cm / 6'0""",74kg / 163lbs,Right,87,CF,,€0,€0,€0,293,95,68,41,89,0,341,79,0,82,94,86,241,78,79,0,84,0,310,74,0,82,74,80,151,69,0,0,0,0,82,121,62,59,0,39,11,11,0,5,12,1496,459,2,1,,,5,PLAYER_BODY_TYPE_,Yes,79,73,91,82,59,75,Leadership Media darling,,,,2,,,https://sofifa.com/player/250/david-beckham/070002/,England
,J. Cole LM,24,87,93,Chelsea 2007,27,"175cm / 5'9""",70kg / 154lbs,Right,87,CF,,€0,€0,€0,292,82,74,49,87,0,330,91,0,82,68,89,257,87,83,0,87,0,313,74,0,86,72,81,158,76,0,0,0,0,82,120,56,64,0,37,8,11,0,12,6,1507,468,4,1,,,4,PLAYER_BODY_TYPE_,Yes,85,76,81,90,59,77,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/27/joe-cole/070002/,England
,I. Akinfeev GK,20,86,90,Russia Free,148119,"184cm / 6'0""",78kg / 172lbs,Right,86,GK,,€0,€0,€0,80,13,23,11,33,0,207,19,0,78,78,32,177,51,46,0,80,0,182,44,0,55,67,16,132,54,0,0,0,0,78,37,17,20,0,352,91,86,0,83,92,1167,478,4,1,,,2,PLAYER_BODY_TYPE_,Yes,91,86,78,92,48,83,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/148119/igor-akinfeev/070002/,Russia
,V. Kompany CB,20,86,92,Hamburger SV 2012,139720,"190cm / 6'3""",85kg / 187lbs,Right,86,CB,,€0,€0,€0,290,67,67,74,82,0,346,84,0,92,83,87,252,80,89,0,83,0,316,82,0,87,90,57,159,67,0,0,0,0,92,176,84,92,0,44,6,13,0,13,12,1583,490,3,1,,,4,PLAYER_BODY_TYPE_,Yes,85,69,80,85,86,85,Adaptability Ambition Leadership High club identification,,,,4,,,https://sofifa.com/player/139720/vincent-kompany/070002/,Belgium
,Robinho ST,22,86,94,Real Madrid 2010,136144,"172cm / 5'8""",60kg / 132lbs,Right,87,CF,,€0,€0,€0,298,78,82,55,83,0,340,95,0,85,64,96,270,91,90,0,89,0,284,83,0,74,50,77,123,38,0,0,0,0,85,46,20,26,0,31,10,7,0,5,9,1392,423,4,1,,,4,PLAYER_BODY_TYPE_,Yes,90,81,77,94,26,55,Leadership,,,,1,,,https://sofifa.com/player/136144/robinho/070002/,Brazil
,Alex CAM,28,86,89,Fenerbahçe SK 2007,135460,"175cm / 5'9""",73kg / 161lbs,Left,86,CAM,,€0,€0,€0,311,82,84,54,91,0,341,91,0,72,82,96,211,78,69,0,64,0,297,81,0,68,69,79,134,62,0,0,0,0,72,67,21,46,0,25,10,5,0,4,6,1386,430,4,1,,,4,PLAYER_BODY_TYPE_,Yes,73,82,85,89,34,67,Leadership Crowd favourite,,,,2,,,https://sofifa.com/player/135460/alex/070002/,Brazil
,P. Lahm LWB,22,86,90,FC Bayern München 2009,121939,"170cm / 5'7""",62kg / 137lbs,Right,87,CF,,€0,€0,€0,243,87,37,34,85,0,326,88,0,86,66,86,268,89,90,0,89,0,259,51,0,79,52,77,159,73,0,0,0,0,86,173,88,85,0,42,10,11,0,10,11,1470,455,4,1,,,3,PLAYER_BODY_TYPE_,Yes,90,52,81,87,81,64,Leadership,,,,1,,,https://sofifa.com/player/121939/philipp-lahm/070002/,Germany
,Pauleta ST,33,86,90,Paris Saint-Germain 2008,117106,"180cm / 5'11""",78kg / 172lbs,Right,86,ST,,€0,€0,€0,332,72,93,88,79,0,298,80,0,83,45,90,247,77,79,0,91,0,314,79,0,86,72,77,151,68,0,0,0,0,83,40,20,20,0,30,7,6,0,7,10,1412,420,4,1,,,3,PLAYER_BODY_TYPE_,Yes,78,86,69,85,27,75,Leadership,,,,1,,,https://sofifa.com/player/117106/pauleta/070002/,Portugal
,Marcelinho CAM,31,86,87,VfL Wolfsburg 2008,105862,"174cm / 5'9""",68kg / 150lbs,Left,86,CAM,,€0,€0,€0,286,82,82,31,91,0,340,91,0,81,78,90,236,86,84,0,66,0,293,80,0,72,58,83,124,43,0,0,0,0,81,36,11,25,0,27,5,6,0,9,7,1342,417,3,1,,,4,PLAYER_BODY_TYPE_,Yes,85,82,85,87,19,59,Leadership Crowd favourite Media darling,,,,3,,,https://sofifa.com/player/105862/marcelinho/070002/,Brazil
,Deco CAM,28,86,90,FC Barcelona 2010,53769,"177cm / 5'10""",73kg / 161lbs,Right,88,CF,,€0,€0,€0,308,87,75,55,91,0,351,89,0,88,84,90,254,86,81,0,87,0,309,74,0,82,67,86,168,80,0,0,0,0,88,76,45,31,0,30,9,8,0,8,5,1496,452,3,1,,,4,PLAYER_BODY_TYPE_,Yes,83,78,88,89,40,74,Leadership,,,,1,,,https://sofifa.com/player/53769/deco/070002/,Brazil
