Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,Olympiacos FC  Super League,280,74,76,73,73,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Normal,Cover,20,13,28,26.36,25.89,,https://sofifa.com/team/280/olympiacos-fc/,Greece
,Atalanta  Serie A,39,74,76,73,72,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,14,33,27.91,26.09,,https://sofifa.com/team/39/atalanta/,Italy
,TSG 1899 Hoffenheim  Bundesliga,10029,74,74,75,73,€7.5M,€0,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,13,14,33,23.82,22.55,,https://sofifa.com/team/10029/tsg-1899-hoffenheim/,Germany
,Torino  Serie A,54,74,77,70,74,€6M,€0,Fast,Lots,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,12,33,25.82,24.48,,https://sofifa.com/team/54/torino/,Italy
,Levante UD  La Liga,1853,74,72,73,73,€2.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,14,32,28.36,26.06,,https://sofifa.com/team/1853/levante-ud/,Spain
,Getafe CF  La Liga,1860,74,73,73,74,€8.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,14,33,27.45,25.36,,https://sofifa.com/team/1860/getafe-cf/,Spain
,Montpellier HSC  Ligue 1,70,74,72,71,73,€9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,13,28,25.0,24.39,,https://sofifa.com/team/70/montpellier-hsc/,France
,Stade Rennais FC  Ligue 1,74,74,75,72,74,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,15,25,25.18,23.84,,https://sofifa.com/team/74/stade-rennais-fc/,France
,Sunderland  Premier League,106,74,74,73,73,€17M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,16,33,25.91,24.15,,https://sofifa.com/team/106/sunderland/,England
,West Bromwich Albion  Premier League,109,74,70,74,72,€9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,14,32,27.91,24.75,,https://sofifa.com/team/109/west-bromwich-albion/,England
,Real Betis Balompié  La Liga,449,74,74,72,73,€4M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,14,33,26.45,23.73,,https://sofifa.com/team/449/real-betis-balompie/,Spain
,Hannover 96  Bundesliga,485,74,76,74,73,€7.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,14,28,25.91,23.79,,https://sofifa.com/team/485/hannover-96/,Germany
,Ajax  Eredivisie,245,74,72,72,73,€10M,€0,Balanced,Normal,Short,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,14,26,22.55,21.92,,https://sofifa.com/team/245/ajax/,Netherlands
,PSV  Eredivisie,247,74,74,72,71,€10M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,19,14,27,20.55,20.93,,https://sofifa.com/team/247/psv/,Netherlands
,Botafogo  Série A,517,73,72,72,72,€2M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,15,9,30,27.55,25.43,,https://sofifa.com/team/517/botafogo/,Brazil
,Corinthians  Série A,1041,73,72,74,72,€11M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,13,30,26.27,24.07,,https://sofifa.com/team/1041/corinthians/,Brazil
,Flamengo  Série A,1043,73,74,70,74,€5M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,20,13,30,27.82,25.1,,https://sofifa.com/team/1043/flamengo/,Brazil
,Internacional  Série A,1048,73,71,72,70,€8M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,13,30,27.82,25.2,,https://sofifa.com/team/1048/internacional/,Brazil
,SV Werder Bremen  Bundesliga,38,73,75,73,73,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,14,15,33,25.73,22.82,,https://sofifa.com/team/38/sv-werder-bremen/,Germany
,Sampdoria  Serie A,1837,73,71,72,73,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,14,12,27,25.27,23.93,,https://sofifa.com/team/1837/sampdoria/,Italy
,Cagliari  Serie A,1842,73,75,73,73,€4M,€0,Balanced,Normal,Mixed,Organised,Normal,Safe,Lots,Organised,Press,Medium,Normal,Cover,12,15,33,27.91,23.33,,https://sofifa.com/team/1842/cagliari/,Italy
,FC Girondins de Bordeaux  Ligue 1,59,73,73,71,73,€7M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Contain,Medium,Normal,Cover,17,16,31,27.18,24.26,,https://sofifa.com/team/59/fc-girondins-de-bordeaux/,France
,Newell's Old Boys  Liga Profesional de Fútbol,110396,73,71,73,72,€1.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,18,4,30,26.73,24.7,,https://sofifa.com/team/110396/newells-old-boys/,Argentina
,Boca Juniors  Liga Profesional de Fútbol,1877,73,73,74,72,€4.5M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,20,14,30,27.36,24.2,,https://sofifa.com/team/1877/boca-juniors/,Argentina
,São Paulo  Série A,598,73,74,74,72,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,19,13,30,26.27,24.4,,https://sofifa.com/team/598/sao-paulo/,Brazil
,Grêmio  Série A,1629,73,76,69,71,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,17,12,30,25.82,23.7,,https://sofifa.com/team/1629/gremio/,Brazil
,Sporting Clube de Braga  Primeira Liga,1896,73,74,72,70,€2.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,17,13,30,24.73,23.6,,https://sofifa.com/team/1896/sporting-clube-de-braga/,Portugal
,Palmeiras  Série A,383,73,74,72,70,€9M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,18,10,28,25.27,25.07,,https://sofifa.com/team/383/palmeiras/,Brazil
,PAOK  Super League,393,73,74,72,71,€4M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,15,10,28,25.64,25.86,,https://sofifa.com/team/393/paok/,Greece
,Hertha BSC  Bundesliga,166,73,79,73,73,€4M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,11,29,24.82,24.55,,https://sofifa.com/team/166/hertha-bsc/,Germany
,1. FSV Mainz 05  Bundesliga,169,73,76,74,73,€4.5M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,11,30,26.27,25.17,,https://sofifa.com/team/169/1-fsv-mainz-05/,Germany
,1. FC Nürnberg  Bundesliga,171,73,73,72,72,€3.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,11,33,26.45,22.61,,https://sofifa.com/team/171/1-fc-nurnberg/,Germany
,RC Celta  La Liga,450,73,74,72,71,€3.6M,€0,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,11,27,25.45,22.96,,https://sofifa.com/team/450/rc-celta/,Spain
,RCD Espanyol  La Liga,452,73,72,73,73,€6.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,16,15,28,26.36,24.29,,https://sofifa.com/team/452/rcd-espanyol/,Spain
,Hellas Verona FC  Serie A,206,73,74,73,71,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,11,8,31,28.27,25.35,,https://sofifa.com/team/206/hellas-verona-fc/,Italy
,Genoa  Serie A,110556,73,74,73,73,€19M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,16,15,32,27.18,24.41,,https://sofifa.com/team/110556/genoa/,Italy
,Rayo Vallecano  La Liga,480,73,71,73,73,€1.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,14,33,26.64,24.0,,https://sofifa.com/team/480/rayo-vallecano/,Spain
,Villarreal CF  La Liga,483,73,75,74,72,€8M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,13,12,33,24.45,22.85,,https://sofifa.com/team/483/villarreal-cf/,Spain
