Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,313,0,0,82,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,423,0,0,109,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,21,601,0,1,578,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,493,0,0,145,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,659,0,1,91,,https://sofifa.com/league/13,England
,Championship  England,24,713,1,0,108,,https://sofifa.com/league/14,England
,Ligue 1  France,20,589,0,0,71,,https://sofifa.com/league/16,France
,Ligue 2  France,20,546,0,0,144,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,550,0,0,54,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,492,0,0,137,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,630,0,0,97,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,610,1,0,200,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,19,527,6,78,17,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,388,6,51,54,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,332,0,0,94,,https://sofifa.com/league/50,Scotland
,Championship  Scotland,1,28,0,0,6,,https://sofifa.com/league/51,Scotland
,La Liga  Spain,20,622,0,0,103,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,603,0,1,179,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,402,3,45,49,,https://sofifa.com/league/56,Sweden
,League One  England,24,653,0,2,115,,https://sofifa.com/league/60,England
,League Two  England,24,656,0,0,186,,https://sofifa.com/league/61,England
,Super League  Greece,4,111,0,0,43,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,12,291,0,1,32,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,427,5,1,136,,https://sofifa.com/league/66,Poland
,Premier League  Russia,16,465,0,0,163,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,1,28,0,0,2,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,268,0,0,78,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,14,383,8,41,98,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,251,0,1,55,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,16,449,0,0,124,,https://sofifa.com/league/308,Portugal
,Premier League  Ukraine,1,28,0,0,3,,https://sofifa.com/league/332,Ukraine
,Primera Division  Chile,18,501,0,0,143,,https://sofifa.com/league/335,Chile
,Categoría Primera A  Colombia,18,495,28,19,85,,https://sofifa.com/league/336,Colombia
,Liga MX  Mexico,18,527,0,2,108,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,56,0,0,8,,https://sofifa.com/league/347,South Africa
,Pro League  Saudi Arabia,14,418,0,1,123,,https://sofifa.com/league/350,Saudi Arabia
,A-League Men  Australia,10,241,0,1,51,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,21,619,0,0,198,,https://sofifa.com/league/353,Argentina
