Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,France,1335,85,85,86,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,27.36,,https://sofifa.com/team/1335/france/
,Germany,1337,85,83,85,81,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,25.64,,https://sofifa.com/team/1337/germany/
,Portugal,1354,84,85,83,85,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,29.09,,https://sofifa.com/team/1354/portugal/
,Spain,1362,84,83,85,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,25.55,,https://sofifa.com/team/1362/spain/
,England,1318,83,85,83,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,26.09,,https://sofifa.com/team/1318/england/
,Belgium,1325,83,83,82,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,29.18,,https://sofifa.com/team/1325/belgium/
,Italy,1343,83,84,84,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,27.18,,https://sofifa.com/team/1343/italy/
,Argentina,1369,83,86,81,81,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,23,27.82,,https://sofifa.com/team/1369/argentina/
,Netherlands,105035,82,82,81,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,23,26.0,,https://sofifa.com/team/105035/netherlands/
,Brazil,1370,80,80,80,80,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,23,26.45,,https://sofifa.com/team/1370/brazil/
,Denmark,1331,78,77,79,78,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,6,23,27.09,,https://sofifa.com/team/1331/denmark/
,Austria,1322,77,79,78,77,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,4,23,26.55,,https://sofifa.com/team/1322/austria/
,Czechia,1330,77,79,76,76,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,23,25.18,,https://sofifa.com/team/1330/czechia/
