Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Bayern München  Bundesliga,21,86,91,85,86,€90M,€2.5B,Balanced,Normal,Short,Organised,Little,Safe,Little,Free form,Press,High,Narrow,Cover,10,10,32,27.82,24.06,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
,Real Madrid  La Liga,243,86,86,86,86,€99.8M,€3B,Slow,Normal,Mixed,Organised,Lots,Normal,Normal,Free form,Press,High,Normal,Cover,10,10,33,28.18,23.24,,https://sofifa.com/team/243/real-madrid/,Spain
,Juventus  Serie A,45,85,87,84,84,€90M,€1.2B,Balanced,Little,Mixed,Organised,Normal,Safe,Normal,Free form,Press,High,Normal,Cover,10,10,25,28.64,27.8,,https://sofifa.com/team/45/juventus/,Italy
,FC Barcelona  La Liga,241,85,93,84,84,€92M,€2.8B,Slow,Normal,Short,Free form,Normal,Normal,Normal,Free form,Double,High,Normal,Cover,10,10,22,26.64,25.73,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Manchester City  Premier League,10,84,85,87,83,€150M,€3B,Slow,Normal,Short,Free form,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,10,9,33,27.09,23.09,,https://sofifa.com/team/10/manchester-city/,England
,Chelsea  Premier League,5,83,84,86,82,€93.4M,€2.5B,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Press,High,Normal,Cover,10,10,33,26.27,23.85,,https://sofifa.com/team/5/chelsea/,England
,Manchester United  Premier League,11,83,85,83,81,€169.2M,€3.6B,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Free form,Press,Medium,Normal,Cover,10,10,33,26.55,23.39,,https://sofifa.com/team/11/manchester-united/,England
,Tottenham Hotspur  Premier League,18,83,85,83,82,€71.4M,€2.3B,Balanced,Little,Mixed,Organised,Little,Safe,Little,Organised,Press,High,Normal,Cover,9,8,33,25.09,23.27,,https://sofifa.com/team/18/tottenham-hotspur/,England
,Paris Saint-Germain  Ligue 1,73,83,86,82,82,€130M,€2.8B,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,High,Normal,Cover,10,10,29,25.45,23.79,,https://sofifa.com/team/73/paris-saint-germain/,France
,Atlético Madrid  La Liga,240,83,85,82,83,€60M,€1.2B,Balanced,Lots,Mixed,Organised,Normal,Normal,Lots,Organised,Double,High,Wide,Cover,9,9,33,26.64,23.06,,https://sofifa.com/team/240/atletico-madrid/,Spain
,Arsenal  Premier League,1,82,84,80,81,€90.7M,€2.4B,Slow,Normal,Short,Organised,Normal,Safe,Normal,Free form,Press,High,Narrow,Cover,9,9,33,27.55,23.24,,https://sofifa.com/team/1/arsenal/,England
,Liverpool  Premier League,9,81,85,81,80,€76M,€2.2B,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Free form,Press,High,Normal,Cover,9,7,33,25.09,23.15,,https://sofifa.com/team/9/liverpool/,England
,Borussia Dortmund  Bundesliga,22,81,81,80,81,€50M,€971.2M,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,High,Normal,Cover,9,8,31,24.82,23.23,,https://sofifa.com/team/22/borussia-dortmund/,Germany
,Napoli  Serie A,48,81,84,82,80,€40M,€423M,Slow,Normal,Short,Organised,Lots,Safe,Little,Organised,Press,Medium,Normal,Offside trap,9,7,24,27.82,26.21,,https://sofifa.com/team/48/napoli/,Italy
,Roma  Serie A,52,81,80,82,81,€40M,€512M,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Free form,Double,High,Normal,Cover,9,7,25,27.27,24.68,,https://sofifa.com/team/52/roma/,Italy
,Inter  Serie A,44,80,83,80,79,€39M,€499M,Fast,Normal,Long,Organised,Lots,Risky,Lots,Organised,Press,Medium,Normal,Cover,8,8,23,26.55,26.22,,https://sofifa.com/team/44/inter/,Italy
,Lazio  Serie A,46,80,82,80,79,€17.5M,€214M,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Free form,Press,Medium,Normal,Cover,7,6,31,26.55,25.48,,https://sofifa.com/team/46/lazio/,Italy
,AS Monaco  Ligue 1,69,80,80,81,78,€35M,€500M,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,6,33,25.09,22.61,,https://sofifa.com/team/69/as-monaco/,France
,Valencia CF  La Liga,461,80,80,80,80,€54.1M,€613M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,6,6,31,25.0,22.48,,https://sofifa.com/team/461/valencia-cf/,Spain
,FC Porto  Primeira Liga,236,80,79,80,80,€19M,€195M,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,8,30,27.73,24.63,,https://sofifa.com/team/236/fc-porto/,Portugal
,Everton  Premier League,7,79,77,80,79,€64.4M,€1.4B,Balanced,Little,Mixed,Organised,Normal,Safe,Normal,Organised,Press,High,Normal,Cover,8,6,33,27.64,24.48,,https://sofifa.com/team/7/everton/,England
,Bayer 04 Leverkusen  Bundesliga,32,79,79,79,79,€32M,€375.7M,Balanced,Lots,Long,Organised,Normal,Risky,Lots,Free form,Press,High,Normal,Cover,8,6,24,23.55,23.13,,https://sofifa.com/team/32/bayer-04-leverkusen/,Germany
,FC Schalke 04  Bundesliga,34,79,78,79,79,€34M,€692.1M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Narrow,Cover,7,6,26,25.82,24.23,,https://sofifa.com/team/34/fc-schalke-04/,Germany
,AC Milan  Serie A,47,79,80,79,79,€52M,€740M,Slow,Normal,Short,Organised,Normal,Safe,Little,Organised,Press,High,Normal,Cover,8,8,26,24.27,24.81,,https://sofifa.com/team/47/ac-milan/,Italy
,Beşiktaş JK  Süper Lig,327,79,79,79,78,€18M,€185M,Balanced,Normal,Mixed,Organised,Lots,Safe,Normal,Free form,Press,High,Normal,Cover,10,7,27,30.09,27.78,,https://sofifa.com/team/327/besiktas-jk/,Türkiye
,Athletic Club  La Liga,448,79,81,79,78,€17.5M,€250M,Fast,Normal,Long,Organised,Lots,Normal,Lots,Free form,Press,Medium,Normal,Cover,6,6,33,27.18,24.79,,https://sofifa.com/team/448/athletic-club/,Spain
,Sevilla FC  La Liga,481,79,80,80,79,€34.1M,€960M,Balanced,Normal,Mixed,Organised,Little,Safe,Little,Organised,Press,Medium,Normal,Cover,7,6,28,26.27,25.93,,https://sofifa.com/team/481/sevilla-fc/,Spain
,Villarreal CF  La Liga,483,79,79,79,80,€31.1M,€370M,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Free form,Contain,Medium,Normal,Cover,8,7,33,25.73,25.0,,https://sofifa.com/team/483/villarreal-cf/,Spain
,Sporting CP  Primeira Liga,237,79,78,80,79,€18.5M,€185M,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Double,High,Normal,Cover,9,7,30,26.18,24.67,,https://sofifa.com/team/237/sporting-cp/,Portugal
,Borussia Mönchengladbach  Bundesliga,23,78,78,78,78,€25M,€364.8M,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Free form,Press,Medium,Normal,Cover,6,5,33,25.09,23.24,,https://sofifa.com/team/23/borussia-monchengladbach/,Germany
,RB Leipzig  Bundesliga,112172,78,78,80,76,€50M,€377.2M,Balanced,Lots,Mixed,Organised,Normal,Risky,Normal,Free form,Double,Medium,Normal,Cover,7,5,30,22.82,22.1,,https://sofifa.com/team/112172/rb-leipzig/,Germany
,TSG 1899 Hoffenheim  Bundesliga,10029,78,80,76,76,€22M,€246.1M,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Free form,Double,High,Normal,Cover,5,4,30,24.27,23.13,,https://sofifa.com/team/10029/tsg-1899-hoffenheim/,Germany
,Olympique Lyonnais  Ligue 1,66,78,80,78,77,€24M,€200M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Double,High,Wide,Cover,8,6,32,23.91,22.03,,https://sofifa.com/team/66/olympique-lyonnais/,France
,Leicester City  Premier League,95,78,79,79,76,€53.7M,€1.1B,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,5,5,33,26.27,24.52,,https://sofifa.com/team/95/leicester-city/,England
,Real Betis Balompié  La Liga,449,78,79,79,76,€15.3M,€175M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Contain,Medium,Normal,Cover,4,2,32,27.27,24.5,,https://sofifa.com/team/449/real-betis-balompie/,Spain
,RC Celta  La Liga,450,78,78,78,78,€10.4M,€110M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Double,Medium,Normal,Cover,6,4,31,25.64,23.45,,https://sofifa.com/team/450/rc-celta/,Spain
,RCD Espanyol  La Liga,452,78,79,78,76,€10M,€75M,Fast,Normal,Long,Organised,Lots,Normal,Lots,Free form,Contain,Medium,Normal,Cover,4,2,27,25.64,25.3,,https://sofifa.com/team/452/rcd-espanyol/,Spain
,Real Sociedad  La Liga,457,78,80,78,76,€14.3M,€150M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,5,3,31,25.0,24.0,,https://sofifa.com/team/457/real-sociedad/,Spain
,Olympique de Marseille  Ligue 1,219,78,78,79,77,€14M,€160M,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,7,4,29,26.0,24.48,,https://sofifa.com/team/219/olympique-de-marseille/,France
,SL Benfica  Primeira Liga,234,78,79,80,78,€17M,€205M,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Press,Medium,Normal,Cover,10,7,29,25.0,23.93,,https://sofifa.com/team/234/sl-benfica/,Portugal
,Watford  Premier League,1795,77,78,77,75,€44.8M,€635M,Balanced,Lots,Mixed,Organised,Lots,Normal,Normal,Free form,Press,High,Normal,Offside trap,3,3,33,27.64,25.67,,https://sofifa.com/team/1795/watford/,England
,Burnley  Premier League,1796,77,76,77,78,€40.7M,€540M,Balanced,Normal,Long,Organised,Normal,Risky,Lots,Organised,Press,Medium,Wide,Cover,3,3,33,27.09,25.82,,https://sofifa.com/team/1796/burnley/,England
