Name,ID,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,International prestige,Players,Starting XI average age,href,game
Britain,1318,85,84,83,82,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,25,25.55,https://sofifa.com/team/1318/england/,FIFA7
France,1335,85,86,82,83,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,23,28.55,https://sofifa.com/team/1335/france/,FIFA7
Italy,1343,85,84,84,84,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,25,27.64,https://sofifa.com/team/1343/italy/,FIFA7
Spain,1362,85,85,84,81,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,23,25.0,https://sofifa.com/team/1362/spain/,FIFA7
Brazil,1370,85,84,84,85,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,25,26.45,https://sofifa.com/team/1370/brazil/,FIFA7
Germany,1337,84,82,80,83,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,23,25.82,https://sofifa.com/team/1337/germany/,FIFA7
Argentina,1369,83,83,79,80,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,25,27.18,https://sofifa.com/team/1369/argentina/,FIFA7
Portugal,1354,81,78,81,80,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,23,26.91,https://sofifa.com/team/1354/portugal/,FIFA7
Turkey,1365,79,80,76,74,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,23,25.45,https://sofifa.com/team/1365/turkiye/,FIFA7
Denmark,1331,78,77,78,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,23,27.0,https://sofifa.com/team/1331/denmark/,FIFA7
Russia,1357,78,79,76,77,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,24.73,https://sofifa.com/team/1357/russia/,FIFA7
Mexico,1386,78,78,76,78,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,23,27.64,https://sofifa.com/team/1386/mexico/,FIFA7
Nigeria,1393,78,79,68,77,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,23,23.27,https://sofifa.com/team/1393/nigeria/,FIFA7
Serbia,110082,77,77,72,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,23,25.0,https://sofifa.com/team/110082/serbia/,FIFA7
Croatia,1328,77,79,73,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,23,26.82,https://sofifa.com/team/1328/croatia/,FIFA7
Greece,1338,77,77,78,78,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,23,29.45,https://sofifa.com/team/1338/greece/,FIFA7
Uruguay,1377,77,78,72,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,28.0,https://sofifa.com/team/1377/uruguay/,FIFA7
Cameroon,1395,77,79,74,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,23,27.0,https://sofifa.com/team/1395/cameroon/,FIFA7
Republic of Ireland,1355,76,74,73,76,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,26.64,https://sofifa.com/team/1355/republic-of-ireland/,FIFA7
Sweden,1363,76,77,75,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,27.55,https://sofifa.com/team/1363/sweden/,FIFA7
Switzerland,1364,76,76,74,77,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,26.55,https://sofifa.com/team/1364/switzerland/,FIFA7
Australia,1415,76,75,75,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,23,28.0,https://sofifa.com/team/1415/australia/,FIFA7
Korea Republic,974,76,75,75,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,27.73,https://sofifa.com/team/974/korea-republic/,FIFA7
Belgium,1325,75,74,72,75,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,24.64,https://sofifa.com/team/1325/belgium/,FIFA7
Norway,1352,75,74,74,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,27.09,https://sofifa.com/team/1352/norway/,FIFA7
Ukraine,1366,75,76,73,66,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,23,26.82,https://sofifa.com/team/1366/ukraine/,FIFA7
Paraguay,1375,75,77,73,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,23,26.73,https://sofifa.com/team/1375/paraguay/,FIFA7
United States,1387,75,71,74,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,23,27.0,https://sofifa.com/team/1387/united-states/,FIFA7
Bulgaria,1327,74,74,72,62,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,23,27.09,https://sofifa.com/team/1327/bulgaria/,FIFA7
Finland,1334,74,72,68,69,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,23,28.18,https://sofifa.com/team/1334/finland/,FIFA7
Poland,1353,74,74,71,68,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,28.36,https://sofifa.com/team/1353/poland/,FIFA7
Scotland,1359,74,75,76,73,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,27.73,https://sofifa.com/team/1359/scotland/,FIFA7
Austria,1322,73,70,67,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,23,26.0,https://sofifa.com/team/1322/austria/,FIFA7
Romania,1356,73,74,69,72,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,23,26.73,https://sofifa.com/team/1356/romania/,FIFA7
Slovenia,1361,72,71,70,68,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,23,26.91,https://sofifa.com/team/1361/slovenia/,FIFA7
Wales,1367,72,77,70,68,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,23,27.45,https://sofifa.com/team/1367/wales/,FIFA7
Ecuador,111465,70,70,68,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,11,23,28.18,https://sofifa.com/team/111465/ecuador/,FIFA7
Northern Ireland,110081,69,64,68,65,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,23,27.27,https://sofifa.com/team/110081/northern-ireland/,FIFA7
Tunisia,1391,69,67,65,71,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,23,29.09,https://sofifa.com/team/1391/tunisia/,FIFA7
Hungary,1886,68,68,66,67,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,23,26.55,https://sofifa.com/team/1886/hungary/,FIFA7
China PR,1413,68,68,66,66,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,23,25.36,https://sofifa.com/team/1413/china-pr/,FIFA7
Britain,1318,84,84,83,83,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,25,27.0,https://sofifa.com/team/1318/england/,FIFA8
