Name,ID,League,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,href,country,game
FC Barcelona,241,La Liga,85,83,83,82,75000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,20,25,26.45,26.0,https://sofifa.com/team/241/fc-barcelona/,Spain,FIFA7
Chelsea,5,Premier League,84,86,81,80,100000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,20,25,26.18,25.0,https://sofifa.com/team/5/chelsea/,Britain,FIFA7
Real Madrid,243,La Liga,84,81,80,78,85000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,20,25,26.18,25.32,https://sofifa.com/team/243/real-madrid/,Spain,FIFA7
Inter,44,Serie A,83,84,81,79,80000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,18,25,28.36,27.96,https://sofifa.com/team/44/inter/,Italy,FIFA7
Arsenal,1,Premier League,82,80,78,74,60800000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,19,25,25.91,23.88,https://sofifa.com/team/1/arsenal/,Britain,FIFA7
Manchester United,11,Premier League,82,78,80,82,50000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,19,25,27.64,25.96,https://sofifa.com/team/11/manchester-united/,Britain,FIFA7
FC Bayern München,21,Bundesliga,82,85,76,78,45000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,18,24,26.91,26.25,https://sofifa.com/team/21/fc-bayern-munchen/,Germany,FIFA7
AC Milan,47,Serie A,82,81,81,82,80000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,19,25,28.91,29.52,https://sofifa.com/team/47/ac-milan/,Italy,FIFA7
Olympique Lyonnais,66,Ligue 1,82,79,76,82,45000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,17,25,26.18,25.2,https://sofifa.com/team/66/olympique-lyonnais/,France,FIFA7
Liverpool,9,Premier League,81,81,76,73,65000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,19,25,25.73,24.76,https://sofifa.com/team/9/liverpool/,Britain,FIFA7
Valencia CF,461,La Liga,81,86,80,78,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,16,23,26.36,26.48,https://sofifa.com/team/461/valencia-cf/,Spain,FIFA7
SV Werder Bremen,38,Bundesliga,80,75,79,75,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,16,25,25.09,24.68,https://sofifa.com/team/38/sv-werder-bremen/,Germany,FIFA7
Juventus,45,Serie B,80,82,78,76,70000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,15,23,28.0,26.7,https://sofifa.com/team/45/juventus/,Italy,FIFA7
Newcastle United,13,Premier League,79,82,77,73,40500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,14,25,26.82,26.72,https://sofifa.com/team/13/newcastle-united/,Britain,FIFA7
Tottenham Hotspur,18,Premier League,79,80,77,77,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,14,25,24.73,24.16,https://sofifa.com/team/18/tottenham-hotspur/,Britain,FIFA7
Roma,52,Serie A,79,73,78,78,50000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,15,23,26.82,24.7,https://sofifa.com/team/52/roma/,Italy,FIFA7
Sevilla FC,481,La Liga,79,83,73,77,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,13,23,26.55,26.0,https://sofifa.com/team/481/sevilla-fc/,Spain,FIFA7
Atlético Madrid,240,La Liga,79,82,77,77,6000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,13,23,25.0,24.65,https://sofifa.com/team/240/atletico-madrid/,Spain,FIFA7
FC Schalke 04,34,Bundesliga,78,79,74,74,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,16,23,25.45,23.87,https://sofifa.com/team/34/fc-schalke-04/,Germany,FIFA7
CA Osasuna,479,La Liga,78,80,76,74,7500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,23,24.91,25.48,https://sofifa.com/team/479/ca-osasuna/,Spain,FIFA7
Blackburn Rovers,3,Premier League,77,75,77,71,12500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,13,25,27.09,27.44,https://sofifa.com/team/3/blackburn-rovers/,Britain,FIFA7
Everton,7,Premier League,77,74,74,74,18800000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,12,25,27.09,25.0,https://sofifa.com/team/7/everton/,Britain,FIFA7
Manchester City,10,Premier League,77,74,75,75,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,12,25,25.55,24.84,https://sofifa.com/team/10/manchester-city/,Britain,FIFA7
Borussia Dortmund,22,Bundesliga,77,73,75,74,4500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,13,23,25.82,24.0,https://sofifa.com/team/22/borussia-dortmund/,Germany,FIFA7
Hamburger SV,28,Bundesliga,77,79,73,77,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,14,23,26.09,25.09,https://sofifa.com/team/28/hamburger-sv/,Germany,FIFA7
Bayer 04 Leverkusen,32,Bundesliga,77,75,79,73,8000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,12,23,26.18,24.78,https://sofifa.com/team/32/bayer-04-leverkusen/,Germany,FIFA7
Fiorentina,110374,Serie A,77,71,72,76,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,15,13,23,25.82,24.26,https://sofifa.com/team/110374/fiorentina/,Italy,FIFA7
Lazio,46,Serie A,77,79,72,75,18000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,16,11,23,26.82,26.61,https://sofifa.com/team/46/lazio/,Italy,FIFA7
Palermo FC,1843,Serie A,77,75,77,69,1000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,9,23,28.27,26.35,https://sofifa.com/team/1843/palermo-fc/,Italy,FIFA7
FC Girondins de Bordeaux,59,Ligue 1,77,72,77,74,20000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,14,10,23,25.36,24.91,https://sofifa.com/team/59/fc-girondins-de-bordeaux/,France,FIFA7
Lille OSC,65,Ligue 1,77,73,74,76,13000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,12,10,23,24.64,23.96,https://sofifa.com/team/65/lille-osc/,France,FIFA7
AS Monaco,69,Ligue 1,77,74,71,77,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,13,23,26.64,25.13,https://sofifa.com/team/69/as-monaco/,France,FIFA7
Fenerbahçe SK,326,Süper Lig,77,73,74,75,5000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,13,23,27.27,25.48,https://sofifa.com/team/326/fenerbahce-sk/,Turkey,FIFA7
Paris Saint-Germain,73,Ligue 1,77,74,71,74,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,18,15,24,27.64,25.13,https://sofifa.com/team/73/paris-saint-germain/,France,FIFA7
Olympique de Marseille,219,Ligue 1,77,76,73,72,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,19,15,25,24.64,23.68,https://sofifa.com/team/219/olympique-de-marseille/,France,FIFA7
Villarreal CF,483,La Liga,77,81,77,74,15000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,17,14,23,25.45,26.65,https://sofifa.com/team/483/villarreal-cf/,Spain,FIFA7
FC Porto,236,Primeira Liga,77,76,76,69,16000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,20,14,25,23.45,24.12,https://sofifa.com/team/236/fc-porto/,Portugal,FIFA7
Bolton Wanderers,4,Premier League,76,78,71,68,12500000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,12,25,27.45,26.12,https://sofifa.com/team/4/bolton-wanderers/,Britain,FIFA7
Middlesbrough,12,Premier League,76,80,75,71,25000000.0,0.0,Slow,Little,Short,Organised,Little,Little,Contain,Deep,Narrow,Cover,13,12,25,26.0,24.52,https://sofifa.com/team/12/middlesbrough/,Britain,FIFA7
