Name,Teams,Players,href,country,game
Superliga,12,260,https://sofifa.com/league/1,Denmark,FIFA7
Pro League,18,384,https://sofifa.com/league/4,Belgium,FIFA7
Série A,21,451,https://sofifa.com/league/7,Brazil,FIFA7
Eredivisie,18,406,https://sofifa.com/league/10,Netherlands,FIFA7
Premier League,20,500,https://sofifa.com/league/13,Britain,FIFA7
Championship,24,531,https://sofifa.com/league/14,Britain,FIFA7
Ligue 1,20,464,https://sofifa.com/league/16,France,FIFA7
Ligue 2,20,420,https://sofifa.com/league/17,France,FIFA7
Bundesliga,18,417,https://sofifa.com/league/19,Germany,FIFA7
2. Bundesliga,18,378,https://sofifa.com/league/20,Germany,FIFA7
Serie A,20,464,https://sofifa.com/league/31,Italy,FIFA7
Serie B,22,464,https://sofifa.com/league/32,Italy,FIFA7
Major League Soccer,12,256,https://sofifa.com/league/39,United States,FIFA7
Eliteserien,14,302,https://sofifa.com/league/41,Norway,FIFA7
Premiership,12,280,https://sofifa.com/league/50,Scotland,FIFA7
La Liga,20,464,https://sofifa.com/league/53,Spain,FIFA7
La Liga 2,22,462,https://sofifa.com/league/54,Spain,FIFA7
Allsvenskan,14,291,https://sofifa.com/league/56,Sweden,FIFA7
League One,24,500,https://sofifa.com/league/60,Britain,FIFA7
League Two,24,499,https://sofifa.com/league/61,Britain,FIFA7
Super League,4,92,https://sofifa.com/league/63,Greece,FIFA7
Ekstraklasa,16,340,https://sofifa.com/league/66,Poland,FIFA7
Süper Lig,18,387,https://sofifa.com/league/68,Turkey,FIFA7
Bundesliga,10,214,https://sofifa.com/league/80,Austria,FIFA7
K League 1,14,294,https://sofifa.com/league/83,Korea Republic,FIFA7
Super League,11,236,https://sofifa.com/league/189,Switzerland,FIFA7
Challenge League,2,40,https://sofifa.com/league/190,Switzerland,FIFA7
Primeira Liga,16,368,https://sofifa.com/league/308,Portugal,FIFA7
První liga,1,21,https://sofifa.com/league/319,Czechia,FIFA7
Liga MX,18,414,https://sofifa.com/league/341,Mexico,FIFA7
Premier Soccer League,2,40,https://sofifa.com/league/347,South Africa,FIFA7
Liga Profesional de Fútbol,2,50,https://sofifa.com/league/353,Argentina,FIFA7
Série C,1,21,https://sofifa.com/league/10001,Brazil,FIFA7
Superliga,12,274,https://sofifa.com/league/1,Denmark,FIFA8
Pro League,18,419,https://sofifa.com/league/4,Belgium,FIFA8
Série A,22,545,https://sofifa.com/league/7,Brazil,FIFA8
Eredivisie,18,440,https://sofifa.com/league/10,Netherlands,FIFA8
Premier League,20,500,https://sofifa.com/league/13,Britain,FIFA8
Championship,24,550,https://sofifa.com/league/14,Britain,FIFA8
Ligue 1,20,499,https://sofifa.com/league/16,France,FIFA8
Ligue 2,20,460,https://sofifa.com/league/17,France,FIFA8
Bundesliga,18,450,https://sofifa.com/league/19,Germany,FIFA8
2. Bundesliga,18,414,https://sofifa.com/league/20,Germany,FIFA8
Serie A,20,492,https://sofifa.com/league/31,Italy,FIFA8
Serie B,22,506,https://sofifa.com/league/32,Italy,FIFA8
Major League Soccer,13,325,https://sofifa.com/league/39,United States,FIFA8
Eliteserien,14,350,https://sofifa.com/league/41,Norway,FIFA8
Premiership,12,297,https://sofifa.com/league/50,Scotland,FIFA8
La Liga,20,487,https://sofifa.com/league/53,Spain,FIFA8
La Liga 2,21,488,https://sofifa.com/league/54,Spain,FIFA8
Allsvenskan,14,313,https://sofifa.com/league/56,Sweden,FIFA8
League One,24,552,https://sofifa.com/league/60,Britain,FIFA8
League Two,24,546,https://sofifa.com/league/61,Britain,FIFA8
Super League,3,75,https://sofifa.com/league/63,Greece,FIFA8
Premier Division,12,276,https://sofifa.com/league/65,Republic of Ireland,FIFA8
Ekstraklasa,17,391,https://sofifa.com/league/66,Poland,FIFA8
Süper Lig,18,412,https://sofifa.com/league/68,Turkey,FIFA8
Bundesliga,10,229,https://sofifa.com/league/80,Austria,FIFA8
K League 1,14,322,https://sofifa.com/league/83,Korea Republic,FIFA8
Super League,11,251,https://sofifa.com/league/189,Switzerland,FIFA8
Challenge League,2,43,https://sofifa.com/league/190,Switzerland,FIFA8
Primeira Liga,16,397,https://sofifa.com/league/308,Portugal,FIFA8
První liga,16,368,https://sofifa.com/league/319,Czechia,FIFA8
Liga MX,18,450,https://sofifa.com/league/341,Mexico,FIFA8
Premier Soccer League,3,69,https://sofifa.com/league/347,South Africa,FIFA8
A-League Men,8,171,https://sofifa.com/league/351,Australia,FIFA8
Liga Profesional de Fútbol,2,50,https://sofifa.com/league/353,Argentina,FIFA8
I liga,1,23,https://sofifa.com/league/1039,Poland,FIFA8
I liga,1,23,https://sofifa.com/league/2011,Poland,FIFA8
Série B,2,46,https://sofifa.com/league/2025,Brazil,FIFA8
I liga,1,23,https://sofifa.com/league/10002,Poland,FIFA8
Superliga,12,309,https://sofifa.com/league/1,Denmark,FIFA9
Pro League,18,466,https://sofifa.com/league/4,Belgium,FIFA9
Série A,23,657,https://sofifa.com/league/7,Brazil,FIFA9
Eredivisie,18,479,https://sofifa.com/league/10,Netherlands,FIFA9
Premier League,20,688,https://sofifa.com/league/13,Britain,FIFA9
Championship,24,699,https://sofifa.com/league/14,Britain,FIFA9
Ligue 1,20,580,https://sofifa.com/league/16,France,FIFA9
Ligue 2,20,546,https://sofifa.com/league/17,France,FIFA9
Bundesliga,18,522,https://sofifa.com/league/19,Germany,FIFA9
2. Bundesliga,18,503,https://sofifa.com/league/20,Germany,FIFA9
Serie A,20,560,https://sofifa.com/league/31,Italy,FIFA9
Serie B,22,587,https://sofifa.com/league/32,Italy,FIFA9
Major League Soccer,14,380,https://sofifa.com/league/39,United States,FIFA9
Eliteserien,14,394,https://sofifa.com/league/41,Norway,FIFA9
Premiership,12,322,https://sofifa.com/league/50,Scotland,FIFA9
La Liga,20,574,https://sofifa.com/league/53,Spain,FIFA9
La Liga 2,21,563,https://sofifa.com/league/54,Spain,FIFA9
Allsvenskan,16,399,https://sofifa.com/league/56,Sweden,FIFA9
League One,24,649,https://sofifa.com/league/60,Britain,FIFA9
League Two,24,613,https://sofifa.com/league/61,Britain,FIFA9
Super League,4,108,https://sofifa.com/league/63,Greece,FIFA9
Premier Division,12,286,https://sofifa.com/league/65,Republic of Ireland,FIFA9
Ekstraklasa,17,467,https://sofifa.com/league/66,Poland,FIFA9
Süper Lig,18,449,https://sofifa.com/league/68,Turkey,FIFA9
Bundesliga,10,263,https://sofifa.com/league/80,Austria,FIFA9
K League 1,14,358,https://sofifa.com/league/83,Korea Republic,FIFA9
Super League,10,251,https://sofifa.com/league/189,Switzerland,FIFA9
Challenge League,3,70,https://sofifa.com/league/190,Switzerland,FIFA9
Primeira Liga,16,417,https://sofifa.com/league/308,Portugal,FIFA9
První liga,16,440,https://sofifa.com/league/319,Czechia,FIFA9
Liga MX,18,551,https://sofifa.com/league/341,Mexico,FIFA9
Premier Soccer League,2,63,https://sofifa.com/league/347,South Africa,FIFA9
A-League Men,8,174,https://sofifa.com/league/351,Australia,FIFA9
Liga Profesional de Fútbol,2,60,https://sofifa.com/league/353,Argentina,FIFA9
Série B,3,87,https://sofifa.com/league/2025,Brazil,FIFA9
Superliga,12,292,https://sofifa.com/league/1,Denmark,FIFA10
Pro League,16,416,https://sofifa.com/league/4,Belgium,FIFA10
Série A,20,589,https://sofifa.com/league/7,Brazil,FIFA10
Eredivisie,18,476,https://sofifa.com/league/10,Netherlands,FIFA10
