Unnamed: 0,Name,Teams,Players,Added,Updated,Removed,Unnamed: 7,href,country
,Superliga  Denmark,12,287,22,203,75,,https://sofifa.com/league/1,Denmark
,Pro League  Belgium,16,427,47,280,118,,https://sofifa.com/league/4,Belgium
,Série A  Brazil,20,580,161,348,201,,https://sofifa.com/league/7,Brazil
,Eredivisie  Netherlands,18,498,54,376,120,,https://sofifa.com/league/10,Netherlands
,Premier League  England,20,656,55,522,62,,https://sofifa.com/league/13,England
,Championship  England,24,700,45,518,101,,https://sofifa.com/league/14,England
,Ligue 1  France,20,589,58,421,101,,https://sofifa.com/league/16,France
,Ligue 2  France,20,511,29,396,158,,https://sofifa.com/league/17,France
,Bundesliga  Germany,18,529,25,467,68,,https://sofifa.com/league/19,Germany
,2. Bundesliga  Germany,18,511,39,449,171,,https://sofifa.com/league/20,Germany
,Serie A  Italy,20,594,56,527,67,,https://sofifa.com/league/31,Italy
,Serie B  Italy,22,599,59,483,219,,https://sofifa.com/league/32,Italy
,Major League Soccer  United States,16,435,112,289,63,,https://sofifa.com/league/39,United States
,Eliteserien  Norway,16,452,93,252,140,,https://sofifa.com/league/41,Norway
,Premiership  Scotland,12,336,39,219,103,,https://sofifa.com/league/50,Scotland
,La Liga  Spain,20,670,62,444,113,,https://sofifa.com/league/53,Spain
,La Liga 2  Spain,22,633,46,423,217,,https://sofifa.com/league/54,Spain
,Allsvenskan  Sweden,16,403,58,231,90,,https://sofifa.com/league/56,Sweden
,League One  England,24,671,77,428,135,,https://sofifa.com/league/60,England
,League Two  England,24,625,50,575,186,,https://sofifa.com/league/61,England
,Super League  Greece,4,111,14,79,24,,https://sofifa.com/league/63,Greece
,Premier Division  Republic of Ireland,10,224,30,194,74,,https://sofifa.com/league/65,Republic of Ireland
,Ekstraklasa  Poland,16,424,36,346,141,,https://sofifa.com/league/66,Poland
,Premier League  Russia,16,466,75,288,177,,https://sofifa.com/league/67,Russia
,Süper Lig  Türkiye,18,469,21,265,401,,https://sofifa.com/league/68,Türkiye
,Bundesliga  Austria,10,263,16,184,78,,https://sofifa.com/league/80,Austria
,K League 1  Korea Republic,15,403,30,258,102,,https://sofifa.com/league/83,Korea Republic
,Super League  Switzerland,10,257,17,137,87,,https://sofifa.com/league/189,Switzerland
,Primeira Liga  Portugal,16,437,41,283,149,,https://sofifa.com/league/308,Portugal
,První liga  Czechia,16,398,42,219,383,,https://sofifa.com/league/319,Czechia
,Liga MX  Mexico,18,559,69,455,160,,https://sofifa.com/league/341,Mexico
,Premier Soccer League  South Africa,2,58,6,28,14,,https://sofifa.com/league/347,South Africa
,A-League Men  Australia,11,244,21,170,71,,https://sofifa.com/league/351,Australia
,Liga Profesional de Fútbol  Argentina,2,60,13,42,18,,https://sofifa.com/league/353,Argentina
