Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Unnamed: 25,href
,England,1318,85,87,86,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,26,26.27,,https://sofifa.com/team/1318/england/
,France,1335,85,85,85,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,26,26.18,,https://sofifa.com/team/1335/france/
,Germany,1337,84,81,83,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,10,26,26.64,,https://sofifa.com/team/1337/germany/
,Portugal,1354,84,85,84,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,26,26.91,,https://sofifa.com/team/1354/portugal/
,Argentina,1369,84,85,83,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,26,27.73,,https://sofifa.com/team/1369/argentina/
,Spain,1362,83,83,84,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,26,27.0,,https://sofifa.com/team/1362/spain/
,Italy,1343,82,82,82,82,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,9,26,28.18,,https://sofifa.com/team/1343/italy/
,Netherlands,105035,82,82,82,83,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,26,25.55,,https://sofifa.com/team/105035/netherlands/
,Belgium,1325,81,82,81,77,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,8,26,27.73,,https://sofifa.com/team/1325/belgium/
,Croatia,1328,79,77,82,77,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,6,26,27.18,,https://sofifa.com/team/1328/croatia/
,Denmark,1331,79,76,78,79,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,6,26,27.27,,https://sofifa.com/team/1331/denmark/
,Morocco,111111,78,77,76,79,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,3,26,26.18,,https://sofifa.com/team/111111/morocco/
,Poland,1353,77,79,75,74,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,26,26.82,,https://sofifa.com/team/1353/poland/
,Sweden,1363,77,82,76,74,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,5,26,26.64,,https://sofifa.com/team/1363/sweden/
,Ukraine,1366,77,81,77,74,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,6,26,24.27,,https://sofifa.com/team/1366/ukraine/
,Mexico,1386,77,78,77,74,€0,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,10,7,26,26.36,,https://sofifa.com/team/1386/mexico/
