Unnamed: 0,Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 26,href,country
,FC Barcelona  La Liga,241,84,83,83,84,€75M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,25,26.55,26.52,,https://sofifa.com/team/241/fc-barcelona/,Spain
,Chelsea  Premier League,5,83,82,83,80,€100M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,25,26.27,26.84,,https://sofifa.com/team/5/chelsea/,England
,Manchester United  Premier League,11,83,81,81,80,€85M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,25,27.64,25.56,,https://sofifa.com/team/11/manchester-united/,England
,FC Bayern München  Bundesliga,21,82,77,79,79,€80M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,25,28.45,25.28,,https://sofifa.com/team/21/fc-bayern-munchen/,Germany
,Inter  Serie A,44,82,85,80,80,€80M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,18,25,29.55,28.56,,https://sofifa.com/team/44/inter/,Italy
,AC Milan  Serie A,47,82,84,81,79,€85M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,19,25,28.45,29.64,,https://sofifa.com/team/47/ac-milan/,Italy
,Real Madrid  La Liga,243,82,81,81,79,€85M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,20,20,25,26.82,25.12,,https://sofifa.com/team/243/real-madrid/,Spain
,Liverpool  Premier League,9,81,82,76,79,€60M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,19,18,25,25.45,24.64,,https://sofifa.com/team/9/liverpool/,England
,Valencia CF  La Liga,461,81,79,79,80,€25M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,18,17,25,26.55,26.12,,https://sofifa.com/team/461/valencia-cf/,Spain
,Arsenal  Premier League,1,80,82,78,77,€45M,€0,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Narrow,Cover,19,17,25,24.64,23.44,,https://sofifa.com/team/1/arsenal/,England
